代號,名稱,市場
00863,永豐美國科技,上市
00864B,中信彭博高評級公司債,上市
00865B,中信美國公債20年,上市
00866,國泰網路資安,上市
00867,中信小型美國,上市
00868,國泰永續低碳,上市
00869,中信全球電動車,上市
00870,統一台灣動能,上市
00871,中信台灣ESG,上市
00872,中信中國高股息,上市
00873B,國泰A級公司債,上市
00874,國泰股利精選30,上市
00875,國泰新興市場,上市
00876,中信美國房地產,上市
00877,中信特選金融,上市
00878,國泰永續高股息,上市
00879,大華優利高填息30,上市
00880,富邦台灣深層價值,上市
00881,國泰台灣5G+,上市
00882,中信中國50,上市
00883,中信全球電動車,上市
00884,中信韓國科技,上市
00885,富邦越南,上市
00886,國泰美國無人機,上市
00887,中信美元政府債15年,上市
00888,永豐台灣ESG,上市
00889,中信印度,上市
00891,中信關鍵半導體,上市
00892,富邦台灣優質,上市
00893,國泰智能電動車,上市
00894,中信小型美國,上市
00895,富邦印度基礎設施,上市
00896,中信ESG,上市
00897,富邦元宇宙,上市
00898,野村台灣高股息,上市
00899,中信中國高股息,上市
00900,富邦特選高股息30,上市
00901,永豐美國科技,上市
00902,中信電子,上市
00903,元大全球機器人,上市
00904,新光台灣半導體30,上市
00905,FT臺灣Smart,上市
00906,KBSTAR臺灣半導體,上市
00907,永豐優息存股,上市
00908,富邦入息REITs,上市
00909,元大台灣高息30,上市
00910,第一金太空衛星,上市
00912,中信臺灣智慧50,上市
00913,中信臺灣ESG永續優選,上市
00914,中信科技成長,上市
00915,凱基優選高股息30,上市
00916,國泰全球品牌50,上市
00917,中信黃金,上市
00918,永豐台灣ESG,上市
00919,群益台灣精選高息,上市
00920,富邦台灣優質高息,上市
00921,兆豐台灣晶圓製造,上市
00922,國泰台灣領航者,上市
00923,群益台科電,上市
00924,凱基台灣精選非金電,上市
00925,永豐ESG低碳高息,上市
00926,新光臺灣半導體30,上市
00927,群益半導體收益,上市
00928,第一金優選價值成長,上市
00929,復華台灣科技優息,上市
00930,永豐智能AI,上市
00931,台新永續高息中小,上市
00932,兆豐永續高息等權重,上市
00933,國泰臺灣領航者,上市
00934,中信成長高息,上市
00935,野村台灣雙動能優選,上市
00936,台新臺灣IC設計,上市
00937B,國泰10Y+金融債,上市
00938,永豐優息存股,上市
00939,統一台灣高息動能,上市
00940,元大台灣價值高息,上市
00941,群益台灣ESG,上市
00942,中信臺灣高息成長,上市
00943,大華台灣旗艦龍頭,上市
00944,永豐台灣ESG高息,上市
00945,凱基半導體,上市
00946,新光台灣ESG,上市
00947,兆豐台灣5G+AI,上市
00948,永豐AI超導體,上市
00949,國泰台灣領航優選30,上市
00950,元大台灣價值成長,上市
00952,凱基AI人工智慧,上市
00954,永豐台灣ESG,上市
00955,台新臺灣半導體,上市
00956,中信台灣半導體,上市
00957,永豐台灣高股息,上市
